0|3|46|32|35|46|24|31|21|5|44|64|40|7|14|14|37|40|60|14|7|28|44|70|70|12|25|25|36|39|20|31|30|18|56|3|23|33|3|6|68|43|17|4|26
3|0|23|56|42|9|29|62|50|2|60|47|24|50|42|5|39|65|22|63|15|40|1|27|41|19|17|70|16|55|35|51|55|59|8|28|12|12|19|40|35|58|41|47|65
46|23|0|65|67|38|25|43|6|28|6|29|25|22|56|59|43|48|6|19|56|17|12|63|37|26|5|32|51|9|28|56|36|13|7|33|61|60|4|56|36|66|42|14|10
32|56|65|0|32|20|10|12|57|11|12|3|54|61|50|40|20|39|33|13|23|33|15|44|63|59|66|38|58|50|60|63|16|29|48|49|22|32|2|66|57|69|34|63|35
35|42|67|32|0|32|43|40|14|24|27|13|36|68|57|67|56|62|68|33|14|20|23|9|30|40|18|17|4|6|26|28|43|16|20|13|53|64|13|17|40|26|22|38|52
46|9|38|20|32|0|66|57|39|64|2|21|44|38|13|49|48|68|51|46|44|53|49|29|56|14|19|63|26|5|39|54|48|40|18|68|24|9|28|43|50|62|63|50|28
24|29|25|10|43|66|0|59|28|34|14|11|58|9|43|6|53|8|27|16|28|43|59|40|55|28|10|9|52|67|38|9|3|19|64|15|70|49|30|4|14|29|68|56|46
31|62|43|12|40|57|59|0|5|29|16|26|67|54|29|11|29|4|47|3|49|45|56|66|20|16|44|8|29|54|12|69|10|27|28|17|54|15|44|69|39|56|21|39|61
21|50|6|57|14|39|28|5|0|4|56|18|2|60|62|57|67|15|12|5|62|9|66|55|21|10|48|68|43|58|16|25|41|1|58|35|55|66|67|51|65|27|23|18|9
5|2|28|11|24|64|34|29|4|0|65|40|27|63|23|17|15|33|29|61|69|36|50|14|46|23|62|18|66|60|23|36|19|20|22|39|25|41|38|54|62|47|9|8|8
44|60|6|12|27|2|14|16|56|65|0|12|30|18|17|25|13|2|49|36|11|51|2|11|48|2|7|64|24|11|52|24|50|63|57|16|9|27|57|65|42|2|6|7|25
64|47|29|3|13|21|11|26|18|40|12|0|65|27|46|53|8|51|5|7|42|10|27|39|1|11|55|39|46|35|43|59|7|21|60|31|48|54|12|27|13|61|2|42|23
40|24|25|54|36|44|58|67|2|27|30|65|0|35|27|8|28|56|48|51|13|7|18|15|18|9|20|5|53|25|17|66|47|53|25|6|21|68|47|39|51|32|10|54|50
7|50|22|61|68|38|9|54|60|63|18|27|35|0|33|69|58|30|2|17|37|44|17|61|58|21|50|51|31|31|32|13|17|65|49|44|57|34|46|32|48|67|5|1|11
14|42|56|50|57|13|43|29|62|23|17|46|27|33|0|18|49|42|65|42|64|49|70|47|5|27|42|36|32|64|57|61|23|31|19|51|44|17|6|45|26|40|66|53|7
14|5|59|40|67|49|6|11|57|17|25|53|8|69|18|0|3|18|57|31|70|3|19|13|53|42|33|11|20|46|45|49|13|3|10|46|20|1|25|31|28|60|25|45|58
37|39|43|20|56|48|53|29|67|15|13|8|28|58|49|3|0|6|24|50|3|38|3|49|10|35|22|65|45|66|63|68|56|46|4|26|35|44|9|25|15|68|37|25|44
40|65|48|39|62|68|8|4|15|33|2|51|56|30|42|18|6|0|8|64|66|16|46|50|64|33|65|52|65|21|59|55|25|10|61|22|38|6|42|10|17|36|36|67|19
60|22|6|33|68|51|27|47|12|29|49|5|48|2|65|57|24|8|0|66|41|70|64|57|51|4|37|21|44|3|61|57|60|43|31|67|31|51|64|33|4|48|29|60|24
14|63|19|13|33|46|16|3|5|61|36|7|51|17|42|31|50|64|66|0|19|52|42|1|11|61|40|14|3|48|1|19|64|6|41|9|68|20|37|37|9|1|46|48|3
7|15|56|23|14|44|28|49|62|69|11|42|13|37|64|70|3|66|41|19|0|35|41|20|26|43|43|10|60|1|8|52|29|15|50|58|66|35|23|3|20|64|60|57|60
